序号,UT,题名,判定,理由/标签,判定阶段
778,WOS:001690715700021,Multi-Phase Stacked Interleaved Buck Converter for Hydrogen-Production Electrolysis with Low-Voltage-Stress Ripple Compensation Circuit,X,制氢Buck变换器,题目+关键词
779,WOS:001228350600001,"Integration of risk, flexibility, and resilience in the optimization of water-energy nexus",X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
780,WOS:000424077200002,"Efficiency and Sustainability of Silage Corn Production by Data Envelopment Analysis and Multi-Functional Ecological Footprint: Evidence from Sarayan County, Iran",X,青贮玉米DEA,题目+关键词
781,WOS:001770409700001,"Climate change impacts on snow cover dynamics and hydrological regimes in the Chitral River Basin, Pakistan",X,Chitral积雪水文,题目+关键词
782,WOS:001301515100001,Modelling long-term operational dynamics of grid-connected hydro- photovoltaic hybrid systems,X,纯电力(水光混合系统),题目+关键词
783,WOS:000342227900006,In Situ Observation of Deformation Behavior of Membrane Electrode Assembly Under Humidity Cycles,X,膜电极湿度变形,题目+关键词
784,WOS:000531910700001,Reframing Resilience: Equitable Access to Essential Services,X,韧性公平服务获取(社会),题目+关键词
785,WOS:000861067700001,Optimization of cogeneration for power and desalination to satisfy the demand of water and power at high ambient temperatures,X,过程级(联产电+淡化优化),题目+关键词
786,WOS:000688396300006,A new design of solar tower system amplified with a thermoelectric unit to produce distilled water and power,X,过程级(太阳能塔+热电蒸馏),题目+关键词
787,WOS:000537619800001,Spatial and sectoral benefit distribution in water-energy system design,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
788,WOS:000614576700014,Unintended consequences of rangeland conservation structures,X,牧场保护工程副作用,题目+关键词
789,WOS:001273416000001,Benggang segmentation via deep exchanging of digital orthophoto map and digital surface model features,X,崩岗分割深度学习,题目+关键词
790,WOS:000413332200008,"Soil and water conservation effects on soil properties in the Middle Silluh Valley, northern Ethiopia",X,埃塞俄比亚水土保持,题目+关键词
791,WOS:000789917500002,Geographical distribution of the health crisis of war in the Tigray region of Ethiopia,X,提格雷健康危机,题目+关键词
792,WOS:001304322500069,"Intelligent Algorithms and Big Data Technology in Power Transmission Systems: Efficient, Reliable, and Sustainable Energy Transmission",X,输电大数据,题目+关键词
793,WOS:000638255100010,Carbon sequestration benefits of the grain for Green Program in the hilly red soil region of southern China,X,退耕还林碳汇,题目+关键词
794,WOS:000461196000001,"Pisha sandstone: Causes, processes and erosion options for its control and prospects",X,砒砂岩侵蚀,题目+关键词
795,WOS:000614576700012,"Resident rhizosphere microbiome's ecological dynamics and conservation: Towards achieving the envisioned Sustainable Development Goals, a review",X,根际微生物组,题目+关键词
796,WOS:001210279800001,"Energy Efficiency Assessment and Prediction Based on Indicator System, PSO plus AHP - FCE Model and Regression Algorithm",X,企业能效评估,题目+关键词
797,WOS:001243473900001,"Simultaneous power, fresh water and fuel generation using a novel hybrid system based on biomass and solar thermal energy",X,过程级(生物质-太阳能三联产),题目+关键词
798,WOS:000428092700005,Techno-economic assessment of dispatchable hydrogen production by multiple electrolysers in Libya,X,利比亚电解制氢,题目+关键词
799,WOS:001273160000001,"Watershed management, groundwater recharge and drought resilience: An integrated approach to adapt to rainfall variability in northern Ethiopia",X,埃塞流域管理抗旱,题目+关键词
800,WOS:000355742800027,Desalination of oilfield produced water associated with treatment of domestic wastewater and bioelectricity generation in microbial osmotic fuel cell,X,MFC油田采出水+废水(过程),题目+关键词
801,WOS:001552287300001,Passively Ultra Cooling Patch Enabling High-Efficiency Power-Water Cogeneration,X,器件级(冷却贴片电-水联产),题目+关键词
802,WOS:001223584600001,Automatic mapping of gully from satellite images using asymmetric non-local LinkNet: A case study in Northeast China,X,侵蚀沟遥感制图,题目+关键词
803,WOS:001097204000001,Public value mapping to assess and guide governmental investments in energy and environmental justice: Studying the United States Department of Energy,X,能源环境正义公共价值,题目+关键词
804,WOS:000756842600001,Multi-objective optimal design of solar-gas turbine driven polygeneration system based on 4E analysis,X,过程级(太阳能-燃机多联产4E),题目+关键词
805,WOS:001627818400005,"Moderate drought stress followed by re-watering enhances wheat starch biosynthesis, improving granule size distribution and physicochemical properties",X,小麦淀粉干旱,题目+关键词
806,WOS:000649635400008,"Comparative study on morphological, rheological and functional characteristics of extruded rice starch citrates and lactates",X,米淀粉流变,题目+关键词
807,WOS:000185394400069,Performance analysis and visualization of electric power systems,X,纯电力(地震脆弱性仿真),题目+关键词
808,WOS:000271359600002,Estimation of Lifeline Resilience Factors Based on Surveys of Japanese Industries,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
809,WOS:001138442700001,Fine and ultrafine flotation with the Concorde CellTM - A journey,X,浮选设备,题目+关键词
810,WOS:000904487200046,Economic Consequences of the HayWired Earthquake Scenario,X,HayWired地震经济损失,题目+关键词
811,WOS:001638965500002,In-situ measurement technique of electrochemical impedance spectroscopy for high-power water electrolyzer,X,电解槽阻抗谱,题目+关键词
812,WOS:000294155900012,"Ecosystem ecology meets adaptive management: food web response to a controlled flood on the Colorado River, Glen Canyon",X,科罗拉多河食物网,题目+关键词
813,WOS:000389280900085,Electrical Power Conversion of River and Tidal Power Generator,X,河流/潮汐发电变流,题目+关键词
814,WOS:001049185300003,"Health facilities preparedness to deliver maternal and newborn health care in Kilifi and Kisii Counties, Kenya",X,肯尼亚妇幼卫生,题目+关键词
815,WOS:001368027100001,An induction machine-based drive system and supervisory control for application to smart water-pumped storage and networks,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
816,WOS:000383740302004,Exploring a Timed-Automata Fuzzy Cognitive Maps based approach for modeling Systems of Systems,X,SoS模糊认知图建模,题目+关键词
817,WOS:001117711600009,Vision: Security-Usability Threat Modeling for Industrial Control Systems,X,工控安全可用性,题目+关键词
818,WOS:000256778800031,Design and construction of vacuum control system on EAST,X,EAST真空控制,题目+关键词
819,WOS:001483393700001,A generalized method for evaluating immediate post-earthquake losses of buildings from different perspectives,X,建筑震后损失评估,题目+关键词
820,WOS:001068552200006,Household Adaptations to and Impacts from Electric Power and Water Outages in the Texas 2021 Winter Storm,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
821,WOS:001145801200001,Feasibility Study of a Reverse Osmosis Desalination Unit Powered by Photovoltaic Panels for a Sustainable Water Supply in Algeria,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
822,WOS:000560389900060,Problems Associated with Hydraulic Turbines,X,水轮机问题,题目+关键词
823,WOS:000314203600027,Probabilistic study of cascading failures in complex interdependent lifeline systems,A,"互依生命线级联失效概率研究(电-水网络,地震)",摘要
824,WOS:000307366500019,USAGE OF SOLAR ENERGY SYSTEM FOR ECONOMIC AND CULTURAL MANAGEMENT AND REVIVAL OF THE GREAT DESERT OF IRAN,X,伊朗沙漠太阳能开发,题目+关键词
825,WOS:000343761504058,Flood Hazard Analysis in Ghana Using Multi-temporal Spot-xs imagery: a Feasibility Study of Northern Region,X,洪水遥感(加纳),题目+关键词
826,WOS:001837365900011,"Environmental footprint of in-center hemodialysis in Türkiye: A national, scenario-based analysis of water, energy, and waste",X,血透环境足迹,题目+关键词
827,WOS:000578037600056,Temporal Ensemble Learning of Univariate Methods for Short Term Load Forecasting,X,负荷预测,题目+关键词
828,WOS:000351248200050,Custom design of a hanging cooling water power generating system applied to a sensitive cooling water discharge weir in a seaside power plant: A challenging energy scheme,X,电厂冷却水排水发电(过程),题目+关键词
829,WOS:000302476500006,On-line cell lysis of bacteria and its spores using a microfluidic biochip,X,微流控细菌裂解,题目+关键词
830,WOS:001225666200001,A modified RUSLE model to simulate soil erosion under different ecological restoration types in the loess hilly area,X,RUSLE土壤侵蚀,题目+关键词
831,WOS:000988205900001,Recurrent neural networks optimization of biomass-based solid oxide fuel cells combined with the hydrogen fuel electrolyzer and reverse osmosis water desalination,X,过程级(生物质SOFC+RO淡化),题目+关键词
832,WOS:000545027300006,"Techno-economic evaluation of a gas turbine-based power, water desalination and cooling system",X,过程级(燃机电+淡化+制冷),题目+关键词
833,WOS:001407868800001,Solar-hydrogen power supply system and multichannel median signal selector for spacecraft miniaturization,X,航天器太阳能-氢供电,题目+关键词
834,WOS:000438006400074,"Energy and exergy investigation of a combined cooling, heating, power generation, and seawater desalination system",X,过程级(CCHP+海水淡化㶲),题目+关键词
835,WOS:000501935700058,A novel framework for data acquisition and ubiquitous communication provisioning in smart cities,X,智慧城市通信架构,题目+关键词
836,WOS:001449874300001,Integrating solar chimney and desalination process for sustainable hydrogen generation: Towards a greener future,X,过程级(太阳烟囱+淡化制氢),题目+关键词
837,WOS:000460215500014,"Global Trends in Collaborative Infrastructure Development to Foster Economically, Environmentally & Socially Sustainable Built Environment in Regional Economies",X,基建协同发展(通用),题目+关键词
838,WOS:001838741800001,Water demand and surface water supply dynamics in the changing climate of semi-arid basins,X,半干旱流域水需求水文,题目+关键词
839,WOS:001727758000001,Hybrid spectrum-splitting photovoltaic-thermal system with multi-stage membrane distillation for efficient energy-water nexus solutions,X,过程级(分光PVT+膜蒸馏),题目+关键词
840,WOS:001170562600001,Resource-efficient manufacturing enables PV supply chain diversity: An industry perspective and case study of CdTe PV manufacturing,X,CdTe光伏制造,题目+关键词
841,WOS:000344100800003,Usage leading to an abrupt collapse of connectivity,X,通用网络连通性崩溃,题目+关键词
842,WOS:000186471800045,Cogeneration power and desalted water utilizing peak power gas turbines,X,过程级(峰荷燃机联产电+淡化水),题目+关键词
843,WOS:001686694000001,Synergistic electricity and freshwater cogeneration by integrating high-temperature proton exchange membrane fuel cells with humidifier-dehumidifiers,X,过程级(HT-PEMFC+HDH),题目+关键词
844,WOS:000367846000001,The forward osmosis and desalination,X,正渗透淡化,题目+关键词
845,WOS:000795054200003,Iterative Optimization of a Social Inmotics-Based Method in Order to Make Buildings Smart and Resilient,X,建筑智能韧性,题目+关键词
846,WOS:001799354900001,Mechanical response and damage evolution of CT-jointed segmental linings in undersea shield tunnels under multi-source construction loads,X,海底盾构隧道管片,题目+关键词
847,WOS:000374197900096,START-UP AND TRANSIENT BEHAVIOR OF AN OSCILLATING HEAT PIPE,X,振荡热管,题目+关键词
848,WOS:000799959000009,Multi-stage and multi-objective optimization for optimal sizing of stand-alone photovoltaic water pumping systems,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
849,WOS:001707497800001,Sustainable evaluation of neem-emulsified waste-derived biofuel using interpretable machine learning,X,生物燃料ML评估,题目+关键词
850,WOS:000288971100015,"Providing all global energy with wind, water, and solar power, Part II: Reliability, system and transmission costs, and policies",X,纯电力(全球WWS可再生方案),题目+关键词
851,WOS:A1996BG89J00126,Repair of water turbine blades by wire electric arc spraying,X,水轮机叶片修复,题目+关键词
852,WOS:000399267100003,Influence of storm surge on tidal range energy,X,潮汐能风暴潮,题目+关键词
853,WOS:000396056200002,Investigating a potential reservoir landslide and suggesting its treatment using limit-equilibrium and numerical methods,X,水库滑坡治理,题目+关键词
854,WOS:000697780800021,Safer Hospital Infrastructure Assessments for Socio-Natural Disaster - A Scoping Review,X,医院基础设施综述,题目+关键词
855,WOS:000852231100001,Cyber-Security of Industrial Internet of Things in Electric Power Systems,X,电力IIoT网络安全,题目+关键词
856,WOS:001332113600001,Three-dimensional spatiotemporal variation of soil organic carbon and its influencing factors at the basin scale,X,土壤有机碳制图,题目+关键词
857,WOS:001698884300001,"Assessment of the aeolian transport characteristics and protection status of sand-blocking and sand-fixing belts in the Hexi Corridor, northwest China",X,河西走廊固沙带,题目+关键词
858,WOS:000335369300022,Targeting of the Water-Energy Nexus in Gas-to-Liquid Processes: A Comparison of Syngas Technologies,X,过程级(GTL水-能nexus),题目+关键词
859,WOS:000540327800008,Using high-resolution aerial images to study gully development at the regional scale in southern China,X,沟蚀遥感,题目+关键词
860,WOS:001225703900001,"Drainage of paddy terraces impacts structures and soil properties in the globally important agricultural heritage of Hani Paddy Terraces, China",X,哈尼梯田排水,题目+关键词
861,WOS:000659949800007,Small dams/reservoirs site location analysis in a semi-arid region of Mozambique,X,莫桑比克小型水库选址,题目+关键词
862,WOS:000876727600030,An Innovative Vision System for Floor-Cleaning Robots Based on YOLOv5,X,清洁机器人视觉,题目+关键词
863,WOS:000706193900003,Contribution of phytoecological data to spatialize soil erosion: Application of the RUSLE model in the Algerian atlas,X,阿尔及利亚水蚀,题目+关键词
864,WOS:001465259100001,Towards Operational Dam Monitoring with PS-InSAR and Electronic Corner Reflectors,X,大坝InSAR监测,题目+关键词
865,WOS:001258982700001,Net Zero Energy Building technologies - Reversible Heat Pump/Organic Rankine Cycle coupled with Solar Collectors and combined Heat Pump/ Photovoltaics - Case study of a Chilean mid-rise residential building,X,智利住宅热泵/ORC,题目+关键词
866,WOS:000689680300003,A novel enhanced ammonia-water power/cooling cogeneration system with dual level cooling temperature: Thermodynamic and economic assessments,X,氨-水电/冷联产,题目+关键词
867,WOS:001266453600001,Optimal design of solar/wind/energy storage system-powered RO desalination unit: Single and multi-objective optimization,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
868,WOS:000434004200006,Thermodynamic analysis and multi-objective optimization of a novel power/cooling cogeneration system for low-grade heat sources,X,氨-水电/冷联产,题目+关键词
869,WOS:000403007100042,Smart Substation For The French Power Grid,X,智能变电站,题目+关键词
870,WOS:000780033200001,Presenting a power and cascade cooling cycle driven using solar energy and natural gas,X,过程级(太阳能+燃气电-冷),题目+关键词
871,WOS:000247612700029,Kidney patient care in disasters: Emergency planning for patients and dialysis facilities,X,透析灾害预案,题目+关键词
872,WOS:000209368900004,"Before the War, War, After the War: Urban Imageries for Urban Resilience",X,萨拉热窝城市韧性意象,题目+关键词
873,WOS:001263400700001,Physical Asset Management for Critical Utilities- A Systematic Literature Review,X,公用事业资产管理综述(电/水),题目+关键词
874,WOS:000911794000001,Where you live matters: Township neighborhood factors important to resilience among south African children from birth to 5 years of age,X,南非儿童韧性,题目+关键词
875,WOS:001171003100004,GREEN PUBLIC PROCUREMENT FOR A SUSTAINABLE PUBLIC ADMINISTRATION IN A RESILIENCE CONTEXT,X,绿色公共采购,题目+关键词
876,WOS:000806192400007,"Thermodynamic, environmental, and economic analysis of a novel power and water production system driven by gas turbine cycle",X,过程级(燃机电+淡水),题目+关键词
877,WOS:001849379300028,Data Centers Resilience Planning,X,数据中心韧性规划(无供水),题目+关键词
878,WOS:000399510900050,Multi-objective optimization of a pressurized solid oxide fuel cell - gas turbine hybrid system integrated with seawater reverse osmosis,X,过程级(SOFC-GT+SWRO),题目+关键词
879,WOS:000564216100009,Spatiotemporal changes in terrestrial water storage in the Beijing-Tianjin Sandstorm Source Region from GRACE satellites,X,GRACE陆地水储量,题目+关键词
880,WOS:000659949800003,Is the runoff coefficient increasing or decreasing after ecological restoration on China's Loess Plateau?,X,黄土高原径流系数,题目+关键词
881,WOS:000390436000057,Evaluation of a New Data Center Air-cooling Architecture: The Down-flow Plenum,X,数据中心风冷架构,题目+关键词
882,WOS:000188349000066,Further observations on the relations between growth and sap concentration in citrus trees,X,柑橘汁液浓度,题目+关键词
883,WOS:001399268800001,Thermal analysis and parameter optimization of advanced adiabatic compressed air energy storage with parabolic trough solar collector auxiliary reheating,X,压缩空储能+太阳能再热,题目+关键词
884,WOS:001587119900058,Striking a Balance in the North: How Edmonton Gets the Most from Its Water Transmission Main Condition Assessment Program,X,纯供水(埃德蒙顿输水干管评估),题目+关键词
885,WOS:001021606300001,Estimating the annual runoff frequency distribution based on climatic conditions and catchment characteristics: A case study across China,X,年径流频率分布,题目+关键词
886,WOS:000562101400001,Machine Learning Based Cost Effective Electricity Load Forecasting Model Using Correlated Meteorological Parameters,X,电力负荷预测,题目+关键词
887,WOS:000426453100011,Optimizing the Resilience of Interdependent Infrastructure Systems against Intentional Attacks,A,DAD韧性优化(互依电力-水系统案例),摘要
888,WOS:001756187800001,Quantitative assessment of sediment sources in the Shanxi Fenhe River reservoir section: A comparative study using end-member mixing analysis and sediment fingerprinting,X,汾河水库沉积物源,题目+关键词
889,WOS:001684027100001,Polysaccharide-modified quinoa-wheat composite flour: Optimization of functional properties and flavor profiles in steamed buns,X,藜麦小麦粉,题目+关键词
890,WOS:000367413700033,Extended blackout mitigation strategy for PWR,X,PWR全厂断电缓解,题目+关键词
891,WOS:000441117600022,An electrochemically assisted AC/DC microgrid configuration with waste water treatment capability,X,"微网+废水处理电化学(污水-电,口径外)",题目+关键词
892,WOS:000356986300061,Parametric investigation and thermo-economic multi-objective optimization of an ammonia-water power/cooling cycle coupled with an HCCI (homogeneous charge compression ignition) engine,X,氨-水+HCCI发动机,题目+关键词
893,WOS:000490750700007,ICS-BlockOpS: Blockchain for operational data security in industrial control system,X,区块链工控安全,题目+关键词
894,WOS:001747185700123,A REVIEW ABOUT FLOOD PREPAREDNESS OF HEALTHCARE FACILITIES,X,医院洪灾准备综述,题目+关键词
895,WOS:000755073900001,A Green Method of Extracting and Recovering Flavonoids from Acanthopanax senticosus Using Deep Eutectic Solvents,X,黄酮提取,题目+关键词
896,WOS:000565601600014,Aluminum-powered climate change resiliency: From aluminum debris to and clean water,X,铝废料制氢淡化救灾(过程),题目+关键词
897,WOS:000329544800001,Modeling the Role of Inventories and Heterogeneity in the Assessment of the Economic Costs of Natural Disasters,X,IO模型灾害经济成本,题目+关键词
898,WOS:001485488900004,'More stressful than cancer': treatment experiences lived during Hurricane Maria among breast and colorectal cancer patients in Puerto Rico,X,波多黎各癌症患者飓风经历,题目+关键词
899,WOS:000720984300010,Study on approaches of extending refrigeration capacity range of parallel power/refrigeration cogeneration Kalina cycle system,X,Kalina电/冷联产,题目+关键词
900,WOS:000438879500006,Variation and driving factors of nitrous oxide emissions from irrigated paddy field in the arid and semiarid region,X,稻田N2O排放,题目+关键词
901,WOS:000295919200026,Distributed generation and water production: A study for a region in central Italy,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
902,WOS:001815069000002,Multi-level optimisation of the integrated renewable energy system within a water-exergy-hydrogen nexus concept,X,水-㶲-氢nexus多 level优化(过程),题目+关键词
903,WOS:001308102400001,"Investigation of a novel solar-assisted multigeneration system comprising water desalination systems, an absorption refrigeration system, a single-effect absorption heat transformer and two organic Rankine cycles",X,过程级(太阳能多联产含淡化),题目+关键词
904,WOS:000510524900101,Introducing a hybrid renewable energy system for production of power and fresh water using parabolic trough solar collectors and LNG cold energy recovery,X,过程级(槽式太阳能+LNG冷能),题目+关键词
905,WOS:000349875400044,DRIVING WATER AND WASTEWATER UTILITIES TO MORE SUSTAINABLE ENERGY MANAGEMENT,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
906,WOS:000348555700007,Nanofiltration for dextrose recovery from crystallization mother liquors: A feasibility study,X,纳滤葡萄糖回收,题目+关键词
907,WOS:000782913000011,"Synergetic variations of active layer soil water and salt in a permafrost-affected meadow in the headwater area of the Yellow River, northeastern Qinghai-Tibet plateau",X,冻土活动层水盐,题目+关键词
908,WOS:001458913100001,How does shrub stem coverage affect the hydraulic properties of concentrated flow and sediment yield during gully bed erosion?,X,灌木茎秆覆盖细沟侵蚀,题目+关键词
909,WOS:001150362900001,"Assessing gully erosion and rehabilitation using multi temporal LiDAR DEMs: Case study from the Great Barrier Reef catchments, Australia",X,大堡礁沟蚀LiDAR,题目+关键词
910,WOS:000430727100002,"Estimating soil erosion response to land use/cover change in a catchment of the Loess Plateau, China",X,黄土土地利用侵蚀,题目+关键词
911,WOS:000379105900013,Optimization of test and maintenance of ageing components consisting of multiple items and addressing effectiveness,X,老化部件试验维护优化,题目+关键词
912,WOS:001409657900035,Comparative analysis of brushless DC and switched reluctance motors for optimizing off-grid water pumping,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
913,WOS:000353140700006,Modeling Hospitals' Adaptive Capacity during a Loss of Infrastructure Services,X,医院适应能力建模,题目+关键词
914,WOS:000425205300002,"Selective removal of sodium and calcium from low-rank coal - Process integration, simulation and techno-economic evaluation",X,低阶煤脱钠钙,题目+关键词
915,WOS:000894967000001,Unlocking demand response in commercial buildings: Empirical response of commercial buildings to daily cooling set point adjustments,X,商业建筑需求响应,题目+关键词
916,WOS:000264403803029,The IRIS (International Reactor Innovative and Secure) and its Unique Advancement of the State-of the Art,X,IRIS反应堆,题目+关键词
917,WOS:000414164700312,A method for assessing resilience of socio-technical IT-systems,X,社会技术IT韧性,题目+关键词
918,WOS:000412866500033,Energy- and exergy-based working fluid selection and performance analysis of a high-temperature PEMFC-based micro combined cooling heating and power system,X,高温PEMFC微CCHP,题目+关键词
919,WOS:001373073200001,A review of combined desalination and electrical power generation,X,过程级(淡化+发电综述),题目+关键词
920,WOS:000434199800007,Optimized Mass Velocity for Evaporator of Organic Rankine Cycle Using R1234ze(E) for 373.15-423.15 K Geothermal Water,X,ORC蒸发器质量流速,题目+关键词
921,WOS:000284683200017,EVALUATION OF REDUCED SEDIMENT VOLUME PROCEDURES FOR ACUTE TOXICITY TESTS USING THE ESTUARINE AMPHIPOD LEPTOCHEIRUS PLUMULOSUS,X,河口端足类毒性试验,题目+关键词
922,WOS:000721498100001,"Comparative exergy, multi-objective optimization, and extended environmental assessment of geothermal combined power and refrigeration systems",X,地热联产电+制冷,题目+关键词
923,WOS:001174643800001,Performance analysis of heat pump polygeneration system,X,热泵多联产HDH,题目+关键词
924,WOS:000392437200035,Design and Maintenance of a Long-Span Timber Roof,X,木结构屋顶维护,题目+关键词
925,WOS:000706193900006,Effects of land management practices and land cover types on soil loss and crop productivity in Ethiopia: A review,X,埃塞土地管理综述,题目+关键词
926,WOS:000973223900001,Comprehensive performance evaluation of water and power production technologies using water-exergy nexus analysis,X,过程级(水-㶲nexus技术评估),题目+关键词
927,WOS:000430729200007,The mediating role of environmental emotions in transition from knowledge to sustainable use of groundwater resources in Iran's agriculture,X,伊朗地下水行为,题目+关键词
928,WOS:000782913000009,"Using a modified PAP/RAC model and GIS-for mapping water erosion and causal risk factors: Case study of the Asfalou watershed, Morocco",X,摩洛哥水蚀制图,题目+关键词
929,WOS:001027674500001,Simultaneous transport of freshwater and heat: An application to Chinese northern coastal regions,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
930,WOS:000467263000129,Experimental Characterization of Vertically Split Distribution Wet- Cooling Media Used in the Direct Evaporative Cooling of Data Centers,X,数据中心蒸发冷却,题目+关键词
931,WOS:000597782800010,Soil erosion: An important indicator for the assessment of land degradation neutrality in Russia,X,俄罗斯土壤侵蚀,题目+关键词
932,WOS:001464793400003,"Winter Storm Uri, Mortality, and Health Care Use of Nursing Home Residents",X,养老院冬季风暴健康,题目+关键词
933,WOS:001438529700001,"Novel methodology for resilience assessment of critical infrastructure considering the interdependencies: A case study in water, transportation and electricity sector",A,"关键基础设施韧性(水-交通-电互依,DBN)",题目+关键词
934,WOS:001695231800001,Towards a circular bioeconomy: A bi-criteria site level decision support for potential cluster nodes exemplified by hydrogen production in Baden-Württemberg,X,生物经济氢选址,题目+关键词
935,WOS:001572162700001,"Rising temperatures, rising vulnerabilities: Individual and community adaptation to heat stress in urban slums of Bangladesh",X,孟加拉贫民窟热适应,题目+关键词
936,WOS:001854898000001,Protecting breastfeeding in emergencies: a concept analysis to inform midwifery education and practice,X,紧急状况母乳喂养,题目+关键词
937,WOS:001529600100018,"Potential Self-Sufficiency in Energy, Water, and Nutrients in a Swedish Urban Neighborhood: Codesign and Evaluation of a Decentralized and Integrated Infrastructure System",X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
938,WOS:001396416500001,"Simultaneous Energy, Fresh Water, and Biogas Production Process Utilizing Solar Thermal and Sewage Sludge",X,过程级(太阳能+污泥三联产),题目+关键词
939,WOS:001414176500105,Accident Evolution and Causal Analysis in Urban Utility Tunnels Using Bayesian Networks and Fault Tree Models,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
940,WOS:000347870800056,Short and Long Term Energy Storage for Enhanced Resilience of Electric Infrastructures,X,"纯电力(储能提升韧性,氢)",题目+关键词
941,WOS:000472924400024,"Techno-economic analysis of combined gas turbine, MED and RO desalination systems to produce electricity and drinkable water",X,过程级(燃机+MED+RO),题目+关键词
942,WOS:001089631700001,Gully internal erosion triggered by a prolonged heavy rainfall event in the tableland region of China's Loess Plateau,X,黄土沟蚀内部侵蚀,题目+关键词
943,WOS:001453794100001,Advancements in Integrated Thermoelectric Power Generation and Water Desalination Technologies: A Comprehensive Review,X,器件级(热电+淡化综述),题目+关键词
944,WOS:001719614100001,"Green development in sports: Optimizing AI-assisted solar H2, power, and water systems for infrastructure",X,过程级(体育场太阳能H2-电-水),题目+关键词
945,WOS:000254781100011,Feasibility of the concept of hybridization of existing co-generative plant with reverse osmosis and aquifer storage,X,过程级(联产+RO+含水层储存),题目+关键词
946,WOS:000592124600007,Predicting impacts of weather-driven urban disasters in the current and future climate,X,城市气候灾害影响预测(未显含水-电),题目+关键词
947,WOS:001021607800001,Vegetation characteristics and soil properties in grazing exclusion areas of the Inner Mongolia desert steppe,X,内蒙禁牧草地,题目+关键词
948,WOS:001803348300073,CyDT: The Cyprus Digital Twin for Resilient Cities and Robust Critical Infrastructure Systems,A,[B终筛升A]塞浦路斯城市数字孪生平台:电-水系统风险韧性分析用例,摘要复核(B类终筛)
949,WOS:000386275100010,A Network Planning and Management Tool for Mitigating the Impact of Spatially Correlated Failures in Infrastructure Networks,X,"网络规划管理工具(通信为主,水-电仅展望)",摘要
950,WOS:000331262600023,Self-Healing Networks: Redundancy and Structure,X,自愈网络冗余理论,题目+关键词
951,WOS:000226097100003,Alternative drive systems for escaping the CO2-Trap,X,替代驱动系统,题目+关键词
952,WOS:001587972900007,Modeling runoff and sediment yield at the event scale in semiarid watersheds,X,半干旱流域径流泥沙,题目+关键词
953,WOS:000744026300002,Optimization of wind/solar energy microgrid by division algorithm considering human health and environmental impacts for power-water cogeneration,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
954,WOS:000434709800036,IEC 61850 Beyond Compliance: A Case Study of Modernizing Automation Systems in Transmission Power Substations in Emirate of Dubai Towards Smart Grid,X,变电站IEC61850改造,题目+关键词
955,WOS:000890510500002,Modelling and analysis of a renewable energy-driven climate-controlled sustainable greenhouse for hot and arid climates,X,温室可再生气候控制,题目+关键词
956,WOS:001613059700001,The Perception of COVID-19 Pandemic Lockdown: An Exploratory Study of New Zealand Home Occupants,X,新西兰封控感知,题目+关键词
957,WOS:001587972900005,Disparity in soil erosion processes between freeze-thaw and unfrozen slopes under artificial rainfall conditions in high-altitude and dry valleys of the Southeast Tibet region,X,冻融坡面侵蚀,题目+关键词
958,WOS:001587972900002,Impact of soil compaction on the rill erosion of Mollisol by waterflow: A comparative analysis before and after the seasonal freezing and thawing,X,黑土细沟侵蚀,题目+关键词
959,WOS:000358678400038,Asset-management framework(s) for infrastructure facilities in adverse (post-conflict/disaster-zone/high-alert) conditions,X,逆境条件基建资产管理,题目+关键词
960,WOS:000685124800012,Thermodynamic investigation of water generating system through HDH desalination and RO powered by organic Rankine cycle,X,过程级(ORC驱动HDH+RO),题目+关键词
961,WOS:000257930800015,Exploring cultural roots & planting seeds for growth: Cultural development through design,X,文化设计,题目+关键词
962,WOS:001842305800001,Evaluation of new cascade sustainable multioutput energy system for hydrogen/fresh water/power production from industrial waste: Impact of working fluid and heat source conditions,X,过程级(工业废蒸汽氢/水/电),题目+关键词
